id,shop_id,name,slug,image,description,price,available,created,updated,category_id
1,4,Big Cat,big-cat,products/b_zOsSKcT.jpg,big cat,100.00,t,2024-09-23 12:29:29.71343+08,2024-09-23 17:00:18.922096+08,1
2,4,Small Cat,small-cat,products/Christy.jpg,A small cat,20.00,t,2024-09-23 17:01:21.848735+08,2024-09-23 17:01:21.848744+08,1
3,1,big cat,big-cat,products/pexels-moose-photos-170195-1036621.jpg,Big Big cat,50.00,t,2024-09-26 15:46:20.672549+08,2024-09-26 15:46:20.672561+08,1
4,4,Dog 1,dog-1,products/pexels-oksana-d-649220-3081657.jpg,My dog,4.00,t,2024-09-26 15:48:06.899696+08,2024-09-26 15:48:06.899718+08,2
5,1,Cooking course 1,cooking-course-1,"","",2000.00,t,2024-10-02 23:43:33.782747+08,2024-10-02 23:43:33.782761+08,3
6,2,Course 2,course-2,products/Anmitsuyokanjapanesesweets.jpg,Course 2,3000.00,t,2024-10-02 23:44:39.942141+08,2024-10-03 11:02:04.074962+08,3
7,2,Cooking Course 2,cooking-course-2,products/easyberrycobbler.jpg,Cooking Course 2,100.00,t,2024-10-03 10:56:17.341287+08,2024-10-03 11:05:09.498211+08,3
8,3,Mook Cake,mook-cake,products/Jenny.jpeg,"",200.00,t,2024-10-03 22:51:56.258025+08,2024-10-03 22:51:56.258036+08,4
9,3,Afternoon Tea Cake,afternoon-tea-cake,products/jumboicecream.jpg,Afternoon Tea Cake,300.00,t,2024-10-03 22:53:03.713985+08,2024-10-03 22:53:03.713998+08,5
10,3,Oreo Chocolate Layer Cake,oreo-chocolate-layer-cake,products/oreo_cake.jpg,"6 inch
Chocolate Chiffon Cake, Oreo, Banana, Walnuts",400.00,t,2024-10-05 11:30:06.470527+08,2024-10-05 11:30:06.470539+08,1
11,3,Baked Honey Cheese Cake,baked-honey-cheese-cake,products/cheese_cake.jpg,"6 inch
Honey, Cheese slices",400.00,t,2024-10-05 11:31:31.516373+08,2024-10-05 11:31:31.516384+08,1
12,3,Sesame Cream Cake,sesame-cream-cake,products/sesame_cake.jpg,"6 inch
Sesame, chiffon cake, Caramel whipped cream, Roasted green tea custard, Walnuts",450.00,t,2024-10-05 11:33:20.048481+08,2024-10-05 11:33:20.048503+08,3
13,3,Earl Grey Tarts,earl-grey-tarts,products/tarts.jpeg,"6 tarts
Chocolate tart shells, Almond, Earl Grey caramel whipped cream",450.00,t,2024-10-05 11:35:04.251602+08,2024-10-05 11:35:04.251621+08,3
14,3,Chocolate Brown Sugar Mochi Tart,chocolate-brown-sugar-mochi-tart,products/mochi_tart.jpg,"6 inch
Mini brown sugar mochi, Matcha red bean cream, cheese Matcha custard whipped cream",450.00,t,2024-10-05 11:36:40.621095+08,2024-10-05 11:36:40.621117+08,3
15,3,Blueberry Layer Chiffon,blueberry-layer-chiffon,products/chiffon.jpg,"6 inch
Blueberry chiffon, Lychee jelly, Raspberry chantilly",420.00,t,2024-10-05 11:38:04.781346+08,2024-10-05 11:38:04.781355+08,4
16,3,Weaving Apple Pie,weaving-apple-pie,products/apple_pie.jpg,"6 inch
Original tart, Caramel passion fruit apple filling",450.00,t,2024-10-05 11:39:05.797854+08,2024-10-05 11:39:05.797871+08,4
18,3,Tiramisu With Matcha Jelly,tiramisu-with-matcha-jelly,products/tiramisu_OEQHWt5.png,"6 inch
Matcha chiffon cake, Tiramisu cream, Matcha latte blancmanges roll, Macarons (with nuts content)",480.00,t,2024-10-05 11:44:14.439658+08,2024-10-05 11:44:14.439677+08,3
21,1,Mango Cheese Cake,CheeseCake,products/2024/09/20/CheeseCake_01_MangoCheese.jpg,Cream cheese cake with layers of sponge cake and fresh mango.,460,TRUE,2024-09-20 11:33:34.483391+08,2024-09-20 17:02:02.120182+08,9
22,1,Bailey's Cheese Cake,CheeseCake,products/2024/09/20/CheeseCake_03_Baileys_Cheese.jpg,"Layers of coffee sablee, chocolate brownies, coffee cream cheese mousse and Bailey's cream cheese mousse, decorated with coffee macarons.",460,TRUE,2024-09-20 11:40:26.662566+08,2024-09-20 17:01:42.574178+08,9
23,1,American Cheese Cake,CheeseCake,products/2024/09/20/CheeseCake_04_American_Cheese.jpg,A classic - made with Philadelphia cream cheese and sour cream and topped with fresh strawberries.,440,TRUE,2024-09-20 11:40:53.628474+08,2024-09-20 11:40:53.628512+08,9
24,1,Blueberry Cheese Cake,CheeseCake,products/2024/09/20/CheeseCake_02_Blueberry_Cheese.jpg,"Cream cheese cake, covered with delicious blueberry topping.",440,TRUE,2024-09-20 11:40:04.150272+08,2024-09-20 11:40:04.150307+08,10
25,1,Black Forest,ChocolateCake,products/2024/09/23/Chocolate_01_Black_Forest.jpg,"Layers of chocolate sponge cake with cherries, cherry brandy cream and 80% chocolate mousse.",468,TRUE,2024-09-23 10:41:11.714828+08,2024-09-23 11:36:42.443157+08,10
